2025-04-25 20:09:07.785 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:09:30.059 +07 | INFO     | Line   50 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 20:10:14.304 +07 | INFO     | Line   62 (video_processor.py): Downloaded to /tmp/video_chatbot_3ku20wtt/4c39a95b-a69e-40bb-b04d-8c5a555e5180.mp4
2025-04-25 20:10:14.306 +07 | ERROR    | Line  112 (video_processor.py): Interval frame extraction error: range() arg 3 must not be zero
2025-04-25 20:10:14.308 +07 | ERROR    | Line  102 (streamlit_app.py): [App Error] range() arg 3 must not be zero
2025-04-25 20:11:04.481 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:11:06.023 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:11:13.216 +07 | ERROR    | Line  102 (streamlit_app.py): [App Error] Cannot copy out of meta tensor; no data! Please use torch.nn.Module.to_empty() instead of torch.nn.Module.to() when moving module from meta to a different device.
2025-04-25 20:11:17.360 +07 | INFO     | Line   50 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8\
2025-04-25 20:12:04.677 +07 | INFO     | Line   62 (video_processor.py): Downloaded to /tmp/video_chatbot_361t92z5/13bd8aa9-1a16-4709-8c25-bf3c49b42717.mp4
2025-04-25 20:12:04.681 +07 | INFO     | Line  108 (video_processor.py): Extracted 0 interval-based keyframes
2025-04-25 20:14:44.828 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:14:45.137 +07 | ERROR    | Line  102 (streamlit_app.py): [App Error] Using a `device_map` or `tp_plan` requires `accelerate`. You can install it with `pip install accelerate`
2025-04-25 20:15:27.099 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:15:43.573 +07 | INFO     | Line   57 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 20:16:29.853 +07 | INFO     | Line   69 (video_processor.py): Downloaded to /tmp/video_chatbot_959x5_d9/50c7c835-76f4-4c06-906c-b35e12f913de.mp4
2025-04-25 20:16:29.855 +07 | INFO     | Line  115 (video_processor.py): Extracted 0 interval-based keyframes
2025-04-25 20:16:37.901 +07 | ERROR    | Line  102 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 20:24:28.197 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:24:39.353 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 20:25:21.057 +07 | INFO     | Line   68 (video_processor.py): Downloaded to /tmp/video_chatbot_d4nstba0/09d75c37-ac41-48b8-96ca-61cae52c95e5.mp4
2025-04-25 20:25:28.193 +07 | ERROR    | Line  102 (streamlit_app.py): [App Error] tuple index out of range
2025-04-25 20:52:40.483 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 20:52:54.440 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8
2025-04-25 20:52:57.192 +07 | ERROR    | Line   71 (video_processor.py): Download failed: [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 20:52:57.203 +07 | ERROR    | Line  108 (streamlit_app.py): [App Error] [0;31mERROR:[0m [youtube] 9RhWXPcKBI8: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2025-04-25 21:01:34.157 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:01:35.154 +07 | INFO     | Line   20 (streamlit_app.py): Processing video
2025-04-25 21:01:46.393 +07 | INFO     | Line   56 (video_processor.py): Downloading YouTube video from https://www.youtube.com/watch?v=9RhWXPcKBI8\
